"","employees","year.2014.salaries","year.2015.salaries","raise","got.raise"
"1","Employee 1",45210.8966745436,42244.2227089778,-2966.67396556586,FALSE
"2","Employee 2",44048.6214892007,43776.6598479357,-271.961641265079,FALSE
"3","Employee 3",44722.2431143746,42723.5000953078,-1998.74301906675,FALSE
"4","Employee 4",41240.6809721142,43138.7352489401,1898.05427682586,TRUE
"5","Employee 5",49386.9348964654,54411.663680803,5024.72878433764,TRUE
"6","Employee 6",47788.2670937106,52498.8996330649,4710.63253935426,TRUE
"7","Employee 7",44990.3928930871,40823.827147251,-4166.56574583612,FALSE
"8","Employee 8",48177.8440135531,46039.506617235,-2138.33739631809,FALSE
"9","Employee 9",45517.9322650656,54824.0922379773,9306.1599729117,TRUE
"10","Employee 10",49874.0644706413,52847.2722042352,2973.20773359388,TRUE
"11","Employee 11",43394.9677064084,45423.1722396798,2028.20453327149,TRUE
"12","Employee 12",41809.842933435,41862.5576084014,52.7146749664098,TRUE
"13","Employee 13",40783.7380445562,44310.3445833549,3526.60653879866,TRUE
"14","Employee 14",42456.7349813879,44504.2839029338,2047.54892154597,TRUE
"15","Employee 15",49363.2195191458,51074.6646812186,1711.44516207278,TRUE
"16","Employee 16",46915.785248857,48331.0291625094,1415.24391365238,TRUE
"17","Employee 17",40034.2158740386,38138.5189981665,-1895.69687587209,FALSE
"18","Employee 18",48030.9642385691,48513.2540634368,482.289824867621,TRUE
"19","Employee 19",40777.7883298695,36442.8617036901,-4334.92662617937,FALSE
"20","Employee 20",46345.4846455716,45270.1306086965,-1075.35403687507,FALSE
"21","Employee 21",48658.1907235086,46958.6769712623,-1699.51375224628,FALSE
"22","Employee 22",40604.6600360423,39292.391607305,-1312.2684287373,FALSE
"23","Employee 23",45903.9986552671,50368.7565622386,4464.7579069715,TRUE
"24","Employee 24",46036.9332740083,47564.3868360203,1527.45356201194,TRUE
"25","Employee 25",47305.431754794,51443.3477865532,4137.91603175923,TRUE
"26","Employee 26",49796.6394806281,54262.4303069897,4465.79082636163,TRUE
"27","Employee 27",44695.5074905418,47148.0325097218,2452.52501918003,TRUE
"28","Employee 28",41091.9522331096,47782.7764069661,6690.82417385653,TRUE
"29","Employee 29",43550.8187464438,46852.1278619301,3301.30911548622,TRUE
"30","Employee 30",47122.0319811255,56697.5385940168,9575.50661289133,TRUE
"31","Employee 31",42895.1402334496,41955.4038497154,-939.736383734271,FALSE
"32","Employee 32",40135.7388612814,38032.9014686868,-2102.83739259467,FALSE
"33","Employee 33",42225.4764847457,47750.0564360525,5524.57995130681,TRUE
"34","Employee 34",49143.4433567338,46348.4616065398,-2794.98175019398,FALSE
"35","Employee 35",40134.6948975697,38495.7674692851,-1638.92742828466,FALSE
"36","Employee 36",43694.1912351176,39643.0719876662,-4051.11924745142,FALSE
"37","Employee 37",48773.8402769901,49659.8263282795,885.986051289365,TRUE
"38","Employee 38",45269.7632438503,54789.5402694121,9519.77702556178,TRUE
"39","Employee 39",44565.5234414153,40443.3358251117,-4122.18761630356,FALSE
"40","Employee 40",47833.3929530345,54315.6835867558,6482.29063372128,TRUE
"41","Employee 41",47716.4207445458,44336.9751377031,-3379.44560684264,FALSE
"42","Employee 42",46172.1080890857,54034.8476637155,7862.73957462981,TRUE
"43","Employee 43",40239.7925616242,47551.1297467165,7311.33718509227,TRUE
"44","Employee 44",43162.3992952518,51384.9332754035,8222.53398015164,TRUE
"45","Employee 45",45123.0514119379,52979.0018999483,7855.95048801042,TRUE
"46","Employee 46",41958.230920136,49438.6887282599,7480.4578081239,TRUE
"47","Employee 47",46268.7977822497,52766.3917909376,6497.59400868788,TRUE
"48","Employee 48",40651.420969516,44499.0797585342,3847.65878901817,TRUE
"49","Employee 49",49148.9487560466,54400.7172156125,5251.76845956594,TRUE
"50","Employee 50",40496.9767760485,37389.6949179471,-3107.28185810149,FALSE
"51","Employee 51",40614.020312205,39366.8956996407,-1247.12461256422,FALSE
"52","Employee 52",47347.3407141864,49619.7782317176,2272.43751753122,TRUE
"53","Employee 53",48086.934320163,43157.3315151036,-4929.6028050594,FALSE
"54","Employee 54",47258.954399731,48211.000506999,952.046107267961,TRUE
"55","Employee 55",40124.1749012843,36329.4712593779,-3794.70364190638,FALSE
"56","Employee 56",42526.1602224782,47904.7575988807,5378.59737640247,TRUE
"57","Employee 57",44610.7693691738,48515.3871227521,3904.61775357835,TRUE
"58","Employee 58",41716.8296128511,49371.3018740527,7654.47226120159,TRUE
"59","Employee 59",44747.9915805161,40253.3836569637,-4494.60792355239,FALSE
"60","Employee 60",40859.8638232797,43065.6699847896,2205.80616150983,TRUE
"61","Employee 61",48243.0492783897,48577.8059565928,334.756678203121,TRUE
"62","Employee 62",49346.9709996134,48597.2691769712,-749.701822642237,FALSE
"63","Employee 63",45309.8117001355,46249.8869479168,940.075247781351,TRUE
"64","Employee 64",47782.5116249733,55481.4387136139,7698.92708864063,TRUE
"65","Employee 65",42249.2245351896,48362.5804586336,6113.35592344403,TRUE
"66","Employee 66",45661.2035213038,43152.2011139896,-2509.00240731426,FALSE
"67","Employee 67",46042.6578088664,51562.4871000182,5519.82929115184,TRUE
"68","Employee 68",47310.79793768,51407.0006704424,4096.20273276232,TRUE
"69","Employee 69",44747.6327582262,43690.3048004024,-1057.32795782387,FALSE
"70","Employee 70",41345.4283145256,36743.5667000245,-4601.8616145011,FALSE
"71","Employee 71",41060.7394762337,45571.011955617,4510.27247938327,TRUE
"72","Employee 72",45340.1323407888,49262.2848192696,3922.15247848071,TRUE
"73","Employee 73",44753.1924396753,45736.7782201618,983.585780486465,TRUE
"74","Employee 74",45932.2898485698,47154.2871720158,1221.99732344598,TRUE
"75","Employee 75",42895.8629164845,37989.8126237094,-4906.05029277503,FALSE
"76","Employee 76",49039.9381890893,54251.958305249,5212.02011615969,TRUE
"77","Employee 77",49259.4548990019,45741.912034573,-3517.54286442883,FALSE
"78","Employee 78",43211.0856892541,47910.2313541807,4699.14566492662,TRUE
"79","Employee 79",42756.4710658044,39792.1549191233,-2964.31614668109,FALSE
"80","Employee 80",48322.2881169058,45120.2639413532,-3202.02417555265,FALSE
"81","Employee 81",48807.1135943756,57174.1529926658,8367.03939829022,TRUE
"82","Employee 82",40371.6215165332,47823.7927763257,7452.17125979252,TRUE
"83","Employee 83",46165.0489224121,52089.7334127221,5924.68449031003,TRUE
"84","Employee 84",40254.7776326537,47045.2574349474,6790.4798022937,TRUE
"85","Employee 85",40792.3433976248,44944.3598615471,4152.01646392234,TRUE
"86","Employee 86",46855.8775214478,48065.5252875295,1209.64776608162,TRUE
"87","Employee 87",40106.8165409379,40522.8723050095,416.055764071643,TRUE
"88","Employee 88",47950.0824632123,51956.8953872658,4006.81292405352,TRUE
"89","Employee 89",46335.2212519385,49535.7965677977,3200.57531585917,TRUE
"90","Employee 90",46345.4539026134,48583.7021784391,2238.24827582575,TRUE
"91","Employee 91",43628.8040038198,51532.4755758047,7903.67157198489,TRUE
"92","Employee 92",44842.9681733251,44174.5287238155,-668.439449509606,FALSE
"93","Employee 93",49298.8289054483,50469.42029614,1170.5913906917,TRUE
"94","Employee 94",40892.2671922483,50094.98977568,9202.72258343175,TRUE
"95","Employee 95",45463.3146594279,41966.2364770193,-3497.07818240859,FALSE
"96","Employee 96",46962.6632402651,45382.5856745243,-1580.07756574079,FALSE
"97","Employee 97",43594.9801257811,44145.0681409333,550.088015152141,TRUE
"98","Employee 98",47184.4120952301,44338.159353938,-2846.25274129212,FALSE
"99","Employee 99",42824.7839515097,37866.5188443847,-4958.26510712504,FALSE
"100","Employee 100",47671.3409693912,45039.4191534724,-2631.92181591876,FALSE
